Category, Entry
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BELTMAKER, THE (m) 1st of mo. 125 W. 33d St., New York, N. Y. Official organ International Ladies' Garment Workers' Union. AFL. Est. 1937, 2 cols., 4 pp., 5c per issue. Local and national labor news. Consumer notes. No ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BLACK WORKER, THE (m) 1st of mo. 217 W. 126th St., New York, N. Y. Official organ Brotherhood of Sleeping Car Porters' Union. AFL. Est. 1935, 5 cols., 4 pp., 50c per yr., 5c per issue. A. P. Randolph, ed. Local and national labor news. Consumers notes. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BOILER MAKERS JOURNAL, THE (m) 1st of mo. 524 Brotherhood Block, Kansas City, Kan. Official organ International Brotherhood of Boiler Makers, Iron Ship Builders and Helpers of America. AFL. Est. 1888. 8i/2 by Ii% in., 32 pp. av., $1 per yr., 10c per issue. L. A. Freeman, ed. Columnist: Philip Pearl. Local and national labor news. Local and national ads. Uses mats. 25,200 circ., esti mated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BREWERY WORKER, THE (w) Tue. 2347-51 Vine St., Cincinnati, O. Official organ International Union of United Brewery, Flour, Cereal and Soft Drink Workers of America. AFL. Est. 1886, 5 cols., 8 pp., $2 per yr., 5c per issue. Joseph Obergfell, ed. Local and national labor news, national general news. Radio, movies. No ads. Uses mats. 35,400 circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BRICKLAYER, MASON AND PLASTERER, THE (m) 15th of mo. 815 15th St., Washington, D. C. Official organ Bricklayers, Masons and Plasterers' International Union of America. AFL. Est. 1898, 9 by 12 in., 75c per yr. R. J. Gray, sec. Local and national labor news. National ads. Uses mats. 67,000 circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BRIDGEMEN'S MAGAZINE, THE (m) 15th of mo. 1615 Syndicate Trust Bldg., St. Louis, Mo. Official organ Inter. Ass'n of Bridge, Structural and Orna mental Iron Workers. AFL. Est. 1901, 63^ by 10 in., 63 pp., $1 per yr., 10c per issue. W. J. McCain, gen. sec. Local and national labor news. No ads. Uses mats. 30,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BROTHERHOOD OF MAINTENANCE OF* WAY EMPLOYES (m) 1st of mo. 61 Putnam Aye., Detroit, Mich. Official organ Brotherhood of Main tenance of Way Employes. AFL. Est. 1892, 7 by 10 in., 64 pp., $1 per yr. F. Finnson, asso. ed. Local and national labor news. Women's page, French section. National ads. Uses mats. 84,450 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BUTCHER WORKMAN, THE (m) 1st of mo. 160 N. La Salle St., Chicago, Ill. Official organ Amal gamated Meat Cutters and Butcher Workmen of America. AFL. Est. 1915, 7 cols., 8 pp., 60c per yr., 5c per issue. Dennis Lane, ed. Local and na tional labor news, national general news. Local ads. Uses mats. AFLWNS, ILNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"CARPENTER, THE (m) 1st of mo. 222 E. Michigan St., Indianapolis, Ind. Official organ United Broth erhood of Carpenters and Joiners of America. AFL. Est. 1881, 6 by 9 in., 64 pp., $1 per yr., 10c per issue. Frank Duffy, sec. Local and national ads. Uses mats. 209,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"CATERING INDUSTRY EMPLOYEE, THE (m) 12th of mo. 528 Walnut St., Cincinnati, O. Offi cial organ The Hotel and Restaurant Employees' International Alliance, and Bartenders' Interna tional League of America. AFL. Est. 1890, 6 by 10 in., 56 pp. av., $1.50 per yr., 20c per issue. H. W. Fox, ed. Local and national labor news. No ads. Uses mats. 95,000 circ., publisher's report. ILNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"CIGAR MAKERS OFFICIAL JOURNAL (q) 1st of mo. 604 Carpenters' Bldg., Washington, D. C. Offi cial organ Cigar Makers' International Union of America. AFL. Est. 1876, 63,4 by 9 in., 16 pp., $1 per yr., 25c per issue. R. E. Van Horn, ed. Local and national labor news. No ads. 5,000 circ., esti mated. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"COMMERCIAL TELEGRAPHER, THE (m) 1st of ino. Edit. Add. 113 S. Ashland Blvd., Chicago, Ill. Pubn. Add. 404 N. Wesley Ave., Mt. Morris, Ill. Official organ The Commercial Telegraphers' Union."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AFL. Est. 1903, 8i/2 by 11i/2 in., 11 pp., $2 per yr. W. L. Allen, ed. National labor news. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"COOPERS INTERNATIONAL JOURNAL, THE (m) 1st of mo. 168 Dartmouth St., Boston, Mass. Offi cial organ Coopers Int., Union of N. America. AFL. Est. 1890, 7 by 10 in., 20 pp., $1.25 per yr. Local and national labor news. No ads. Uses mats. 4,500 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"DINING CAR WORKER (m) 1st of mo. 3806 S. Michigan Aye., Chicago, Ill. Official organ Joint Council of Dining Car Employees Unions. AFL."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"EDUCATIONAL MONTHLY NEWS REVIEW (m) 1st of mo. 3451 Michigan Ave., Chicago, Ill. Offi cial organ International Brotherhood of Red Caps (Educational Dep't.) AFL. Est. 1939, 8% by 11 in., 10 pp. Ernest Calloway, ed. Local and national labor news. No ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"ELEVATOR CONSTRUCTOR, THE (m) 1st of mo. 12 S 12th St., Philadelphia, Pa. Official organ In ternational Union of Elevator Constructors, Oper ators and Starters. AFL. Est. 1902, 8i/2 by 11i/2 in., 48 pp., $1 per yr., 10c per issue. Frank Feeney, Jr., ed. Local and national labor news, national general news. National ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"EMANCIPATOR, THE (m) 1st of mo. 1012 N. 3rd St., Milwaukee, Wis. Official organ International Ladies' Garment Workers' Union. AFL. 9 by 12 in., 8 pp. Josephine Sortino, sec. Local and national labor news. Sports. Local ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"EQUITY (m) 15th of mo. 45 W. 47th St., New York, N. Y. Official organ Actors' Equity Association and Chorus Equity Association. AFL. Est. 1915, 8i/2 by 12 in., 15 pp. av., $1 per yr., 10c per issue. Alfred Harding, ed. Local and national labor and general news. Local and national ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"FIREMEN AND OILERS JOURNAL (3 issues per yr.) 330 S. Wells St., Chicago, Ill. Official organ International Brotherhood of Firemen, Oilers, Help ers, Roundhouse and Railroad Shop Laborers. AFL. Est. 1901, 30 pp. av., $1 per yr. John Clinton, ed. National labor news. No ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"GARMENT WORKER, THE (w) Fri. 45 Astor Place, New York, N. Y. Official organ United Garment Workers of America. AFL. Est. 1901, 4 cols., 8 pp., $1 per yr., 5c per issue. T. A. Rickert, ed. Local and national labor news. No ads. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"GENERAL BULLETIN, THE (Irreg.) Earle Bldg., Washington, D. C. Official organ International Al liance of Theatrical Stage Employes and Moving Pic ture Machine Operators of the United States and Canada. AFL."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"GLASS CUTTER, THE (m) 1st of mo. 11 E. Gay St., Columbus, O. Official organ Window Glass Cutters League of America. AFL. Est. 1935, 4 cols., 4 pp. J. E. Mayeur, ed. Local and national labor news. Local ads. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"GOVERNMENT STANDARD, THE (w) Fri. 900 F St. N. W., Washington, D. C. Official organ Amer ican Federation of Government Employees. AFL. Est. 1933, 5 cols., 8 pp., $2 per yr., 10c per issue. Lee Somers, ed. Local and national labor news. Local and national ads, classified ads. Uses mats. 26,580 circ., sworn statement. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"GRANITE CUTTERS' JOURNAL, THE (m) 1st of mo. 25 School St., Quincy, Mass. Official organ The Granite Cutters' International Association of America. AFL. Est. 1877. 4 cols., 8 pp., $1 per yr., 10c per issue. Laurence Foley, mgr. Local and national labor news, national general news. Con sumers Notes. Local and national ads. 6,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"HAT WORKER, THE (m) 15th of mo., 245 5th Ave., New York, N. Y. Official organ United Hatters, Cap and Millinery Workers International Union. AFL. Est. 1938. 5 cols., 16 pp., $1 per yr., 10c per issue. J. C. Rich, ed. Local and national labor and general news. No ads. Uses mats. 32,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"IBT NEWS (m) 1st of mo. 50 Court St., Brooklyn, N. Y. Official organ International Brotherhood of"
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Teamsters, Chauffeurs & Helpers. AFL. Est. 1936. 5 cols., 8 pp., $2 per yr., 5c per issue. Frank Ryan, ed. Local and' national labor news. No ads. Uses mats. FP."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL BOOKBINDER, THE (b-m) 1st of mo. A. F. of L. Bldg., Washington, D. C. Official organ International Brotherhood of Bookbinders. AFL. Est. 1900. 6% by 10 in., 35 pp., $1.50 per yr. J. B. Prewitt, ed. Local and national labor news. National ads. Uses mats. 20,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL BROTHERHOOD OF TEAM STERS, CHAUFFEURS, STABLEMEN AND HELPERS OF AMERICA (m) 1st of mo. 222 E. Michigan St., Indianapolis, Ind. Official organ International Brotherhood of Teamsters, Chauffeurs, Stablemen and Helpers of America. AFL. Est. 1904. 6% by 9i/2 in., 16 pp., $2 per yr. 20c per issue. D. J. Tobin, ed. National labor and general news. No ads. 225,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL ENGINEER, THE (m) 1st of mo. 1003 K St., N. W., Washington, D. C. Official organ International Union of Operating Engineers. AFL. Est. 1899. 8% by 11i/2 in., 33 pp. av., $1 per yr. F. A. Fitzgerald, ed. National labor and general news. National ads. Uses mats. 40,573 circ., sworn statement."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL FIRE FIGHTER (m) 1st of mo. A. F. of L. Bldg., Washington, D. C. Official organ International Association of Fire Fighters. AFL. Est. 1918. 8 by 11 in., 32 pp., $2 per yr. F. W. Baer, ed. National labor news. Comics. No ads. Uses mats. 200 paid circ., publisher's report. 8,000 free circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL MOLDERS JOURNAL (m) 8th of mo. Edit. Add., P. O. Box 688, Cincinnati, O. Pubn. Add., 22 E. 12th St., Cincinnati, O. Official organ The International Molders Union of North America. AFL. Est. 1864, 6V2 by 9i/2 in., 60 pp. av., 50c per yr., 5c per issue. J. F. Dunachie, ed. Columnist: Philip Pearl. Local and national labor news. No ads. Uses mats. 18,700 circ., estimated. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL MUSICIAN (m) 1st of mo. 39 Division St., Newark, N. J. Official organ American Federation of Musicians. AFL. Est. 1894, 4 eols., 24 pp., 30c per yr. F. W. Birnbach, ed. Local and national labor news. Local and national ads, want ads. Uses mats. 118,000 circ., sworn statement."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL STEREOTYPERS' AND ELEC- TROTYPERS' UNION JOURNAL (m) 1st of mo. 17828 E. Park Drive, Cleveland, O. Official organ International Stereotypers' and Electrotypers' Union of North America. AFL. Est. 1906, 6 by 9 in., 66 pp. av., $1 per yr., 10c per issue. J. J. Kelly, ed. National labor news. Ladies' Auxiliary Notes. Na tional ads. Uses mats. 8,700 cire;., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"INTERNATIONAL WOOD CARVER, THE (q) 1st of mo. 25 De Forest St., Hyde Park, Mass. Official organ The International Wood Carvers' Ass'n. AFL. Est. 1899, 5 cols., 1 p., 5c per issue. Local and na tional labor news. No ads. 1,100 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"JOURNAL OF ELECTRICAL WORKERS AND OP ERATORS (m) 1st of mo. 1200 15th St., N. W., Washington, D. C. Official organ International Elec trical Workers and Operators. AFL. Est. 1901, 9 by 12 in., 54 pp. av., $2 per yr., 20c per issue. G. M. Bugniazet, ed. Local and national labor news. National general news. Radio. Women's Page. Na tional ads. Uses mats. 150,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"JOURNAL OF STATE AND LOCAL GOVERNMENT EMPLOYEES (m. ex. Aug.) 1st of mo. 448 W. Washington Ave., Madison, Wis. Official organ American Federation of State, County, and Munici pal Employees' Union. AFL. Est. 1937, 7 by 10 in., 31 pp., $1 per yr., 10c per issue. A. S. Zander, ed. Local and national labor news. Book Reviews. No ads. Uses mats. 50,000 circ., publisher's re port. ILPA."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"JOURNAL OF SWITCHMEN'S UNION OF N. A. (m) 1st of mo. 3 Linwood Ave., Buffalo, N. Y. Official organ Switchmen's Union of North America. AFL. Est. 1898, 8 by 11 in., 30 pp. av., $1.25 per yr. W. J. Trost, ed. National labor and general news. Auxil iary Notes. Local and national ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"JOURNEYMAN BARBER, THE (m) 1st of mo. 12th St., Indianapolis, Ind. Official organ Journeymen Barbers' International Union of America. AFL. Est. 1905, 8i/2 by 11i/2 in., 32 pp. av., $1 per yr. W. C. Birthright, ed. Local and national labor news. Sports, education. Local and national ads, classi fied ads. Uses mats. 30,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"JOURNEYMEN, PLUMBERS AND STEAMFIT- TERS JOURNAL (m) 1st of mo. Edit. Add. 9th and Mt. Vernon PL, Washington, D. C. Pubn. Add. 626 Federal St., Chicago, Ill. Official organ United Association of Journeymen, Plumbers, and Steam- fitters of the U. S. and Canada. AFL. Est. 1885, 6 by 9i/2 in., 64 pp., $1 per yr. T. E. Burke, sec.- treas. National labor news. Local and national ads. Uses mats. 38,123 circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"JUSTICE (f) 1st and 15th of mo. Edit, add., 3 W. 16th St., New York, N. Y. Pubn. add., 718 Bergen Ave., Jersey City, N. J. Official organ International Ladies Garment Workers Union. AFL. Est. 1919, 5 cols., 16 pp., $1 per yr., 10c per issue. M. D. Danish, ed. Columnist : Henry Zon. Local and na tional labor and general news. Sports, drama. No ads. Uses mats. 113,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"LABOR (w) Tues. 10 Independence Ave. S. W., Wash ington, D. C. Official organ 15 recognized standard railroad labor organizations. AFL. Est. 1919, 8 cols., 4 pp., $1 per yr., 5c per issue. Edward Keating, ed. Local and national labor and general news. No ads. Uses mats. 500,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"LATHER, THE (m) 1st of mo. Detroit Ave. at W. 26th St., Cleveland, O. Official organ Wood, Wire and Metal Lathers International Union. AFL. Est. 1901, 8i/2 by 11 in., 32 pp., $1.20 per yr., lOc per issue. Terry Ford, sec.-treas. Local and national labor and general news. No ads. Uses mats. 10,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"LITHOGRAPHERS' JOURNAL (m) 1st of mo. 450 7th Ave., New York, N. Y. Official organ Amal gamated Lithographers of America. AFL. Est. 1915, 8i/2 by Hi/2 in., 40 pp. av., $1.50 per yr. Justus Ebert, ed. Local and national labor news. Women's Page. Local and national ads. Uses mats. 8,200 circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"MACHINISTS MONTHLY JOURNAL (m) 1st of mo. 9th St. and Mt. Vernon Place N. W., Washington, D. C. Official organ the International Association of Machinists. AFL. Est. 1889, 6% by 10 in., 83 pp. av., $1 per yr. Fred Hewitt, ed. Local and na tional labor news, national general news. Women's Page. National ads. Uses mats. 102,400 circ., esti mated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"MASTER, MATE AND PILOT, THE (m) 15th of mo. Edit. Add. 15 Moore St., New York, N. Y. Pubn. Add. 810-16 Rhode Island Ave. N. E., Washington, D. C. Official organ National Organization of Mas ters, Mates and Pilots of America. AFL. Est. 1938, 9 by 12 in., 20 pp. av., $1 per yr. J. J. Scully, ed. Local and national labor news. Local and national ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"METAL POLISHER, BUFFER AND PLATER, THE (b-m) 1st of mo. 514 Main St., Cincinnati, O. Of ficial organ Metal Polishers, Buffers, Platers and Helpers International Union. AFL. Est. 1896. 6i/2 by 9i/a in., 30 pp., $1 per yr., 10c per issue. W. W. Britton, ed. Local and national labor news. No ads. Uses mats. 9,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"MONTHLY BULLETIN, INTERNATIONAL GLOVE WORKERS UNION OF AMERICA (m) 1st of mo. 5377 N. 34th St., Milwaukee, Wis. Official organ International Glove Workers Union of America. AFL. Est. 1938, 3 cols., 2 pp. Thomas Durian, ed. Local and national labor news. No ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"MOTORMAN CONDUCTOR AND MOTOR COACH OPERATpR (m) 1st of mo. Edit. add., 260 E. Vernor Highway, Detroit, Mich. Pubn. add., 404 N. Wesley Ave., Mount Morris, Ill. Official organ Amalgamated Association of Street Railway and"
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Motor Coach Employes of America. AFL. Est. 1895, $1/2 by 11V& in., 75c per yr., 10c per issue. J. J. Woods, ed. Local and national labor news, national general news. Auxiliary notes. National ads. Uses mats. 88,500 circ., sworn."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"NATIONAL GLASS BUDGET (w) Sat. 313 Sixth Ave., Pittsburgh, Pa. Official organ American Flint Glass Workers' Union. AFL. Est. 1884, 4 cols., $2 per yr. A. W. Kimes, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"NATIONAL RURAL LETTER CARRIER, THE (w) Sat. 1516 H St., N. W., Washington, D. C. Official organ National Rural Letter Carriers Association. AFL. Est. 1902, 8i/2 by 11i/2 in.. 14 pp., $2 per yr. R. H. Combs, ed. National labor and general news. Auxiliary News. National ads. Uses mats. 25,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"OFFICIAL BULLETIN OF THE SCREEN ACTORS GUILD (m) 1st of mo. 7046 Hollywood Blvd., Hollywood, Calif. Official organ Screen Actors Guild. AFL. Est. 1938, 4 cols., 8 pp. Edward Arnold, sec. Local and national labor news. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"OFFICIAL BULLETIN, INTERNATIONAL METAL ENGRAVERS UNION (m) 1st of mo. 5552 Cooper Ave., Detroit, Mich. Official organ International Metal Engravers Union. AFL. 4 cols., 4 pp., $1 per yr. Conrad Woelfel, ed. Local and national labor news. No ads. ALFWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"OFFICIAL JOURNAL INTERNATIONAL JEW ELRY WORKERS UNION (m) 1st of mo. 45 Astor Place, New York, N. Y. Official organ In ternational Jewelry Workers Union. AFL. Est. 1938, 3 cols., 4 pp., $1 per yr. S. E. Beardsley, sec.-treas. Local and national labor news. Local ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"PAINTER AND DECORATOR, THE (m) 1st of mo. Lafayette, Ind. Official organ Brotherhood of Painters, Decorators and Paperhangers of America. AFL. Est. 1887, 6l/2 by 10% in., 48 pp., $1 per yr., 10c per issue. C. E. Swick, ed. National labor news. Consumer notes. National ads. Uses mats. 113,000 circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"PAPER MAKERS JOURNAL, THE (b-m) 1st of mo. 112 State St., Albany, N. Y. Official organ International Brotherhood of Paper Makers. AFL. Est. 1902, 48 pp. av., $1 per yr., 10c per issue. Arthur Huggins, ed. National labor news. Con sumers' Notes. No ads. 23,025 circ., sworn state ment."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"PATTERN MAKERS JOURNAL (b-m) 1st of mo. 311 Machinists' Bldg., Washington, D. C. Official organ Pattern Makers' League of North America. AFL. Est. 1889, 6i/2 by 10 in., 19 pp., 50c per yr., 10c per issue. G. Z. Lynch, ed. Local and national labor news. No ads. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"PAVING CUTTERS' JOURNAL, THE (m) 1st of mo. Box 130, Rockport, Mass. Official organ The Paving Cutters' Union of U. S. and Canada. AFL. Est. 1905, 6 cols., 4 pp. A. M. Anderson, ed. Local and national labor news, national general news. Consumers Notes. No ads. 2,500 circ., estimated. FP, AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"PLASTERER, THE (m) 15th of mo. 5145 W. Cermak Rd., Chicago, Ill. Official organ Operative Plaster ers' and Cement Finishers' International, Associa tion of the United States and Canada. AFL. Est. 1907, 7i/2 by 10i/2 in., 40 pp. John Donlin, ed. Local and national labor news, national general news. Local and national ads. Uses mats. ILNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"PLATE PRINTER (f) 414 Washington Loan and Trust Bldg., Washington, D. C. Official organ In ternational Plate Printers and Die Stampers Union of North America. AFL. Est. 1902. F. J. Cole- man, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"POSTAL RECORD, THE (m) 1st of mo. A. F. of L. Bldg., Washington, D. C. Official organ The Na tional Association of Letter Carriers. AFL. Est. 1888, 8% by 11% in., 50 pp. av., $2 per yr., 20c per issue. M. T. Finnan, ed. National labor news. Auxiliary Notes. Local and national ads. 61,000 circ., publisher's report."
